TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,STAGE0000000001,STAGE0000000002,STAGE0000000003,STAGE0000000004,STAGE0000000005,STAGE0000000006,STAGE0000000007,STAGE0000000008,STAGE0000000009,STAGE0000000010,STAGE0000000011,STAGE0000000012,STAGE0000000013,STAGE0000000014,STAGE0000000015,STAGE0000000016,STAGE0000000017,STAGE0000000018,STAGE0000000019,STAGE0000000020,STAGE0000000021,
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,  0.4447993E+01,  0.4408492E+01,  0.4372067E+01,  0.4338547E+01,  0.4307750E+01,  0.4279483E+01,  0.4253553E+01,  0.4229775E+01,  0.4207970E+01,  0.4187971E+01,  0.4169620E+01,  0.4152772E+01,  0.4137291E+01,  0.4123055E+01,  0.4109951E+01,  0.4097876E+01,  0.4086738E+01,  0.4076452E+01,  0.4066946E+01,  0.4058149E+01,  0.4050000E+01,
  0.1200000E+04,  0.6000000E+03,         1,         2,         1,  0.4447992E+01,  0.4408491E+01,  0.4372066E+01,  0.4338546E+01,  0.4307749E+01,  0.4279482E+01,  0.4253552E+01,  0.4229774E+01,  0.4207970E+01,  0.4187971E+01,  0.4169620E+01,  0.4152772E+01,  0.4137291E+01,  0.4123055E+01,  0.4109951E+01,  0.4097876E+01,  0.4086738E+01,  0.4076452E+01,  0.4066946E+01,  0.4058149E+01,  0.4050000E+01,
  0.1800000E+04,  0.6000000E+03,         1,         3,         1,  0.4447992E+01,  0.4408491E+01,  0.4372066E+01,  0.4338546E+01,  0.4307749E+01,  0.4279482E+01,  0.4253552E+01,  0.4229774E+01,  0.4207970E+01,  0.4187971E+01,  0.4169620E+01,  0.4152772E+01,  0.4137291E+01,  0.4123055E+01,  0.4109951E+01,  0.4097876E+01,  0.4086738E+01,  0.4076452E+01,  0.4066946E+01,  0.4058149E+01,  0.4050000E+01,
  0.2400000E+04,  0.6000000E+03,         1,         4,         1,  0.4447992E+01,  0.4408491E+01,  0.4372066E+01,  0.4338546E+01,  0.4307749E+01,  0.4279482E+01,  0.4253552E+01,  0.4229774E+01,  0.4207970E+01,  0.4187971E+01,  0.4169620E+01,  0.4152772E+01,  0.4137291E+01,  0.4123055E+01,  0.4109951E+01,  0.4097876E+01,  0.4086738E+01,  0.4076452E+01,  0.4066946E+01,  0.4058149E+01,  0.4050000E+01,
  0.3000000E+04,  0.6000000E+03,         1,         5,         1,  0.4447992E+01,  0.4408491E+01,  0.4372066E+01,  0.4338546E+01,  0.4307749E+01,  0.4279482E+01,  0.4253552E+01,  0.4229774E+01,  0.4207970E+01,  0.4187971E+01,  0.4169620E+01,  0.4152772E+01,  0.4137291E+01,  0.4123055E+01,  0.4109951E+01,  0.4097876E+01,  0.4086738E+01,  0.4076452E+01,  0.4066946E+01,  0.4058149E+01,  0.4050000E+01,
  0.3600000E+04,  0.6000000E+03,         1,         6,         1,  0.4447992E+01,  0.4408491E+01,  0.4372066E+01,  0.4338546E+01,  0.4307749E+01,  0.4279482E+01,  0.4253552E+01,  0.4229774E+01,  0.4207970E+01,  0.4187971E+01,  0.4169620E+01,  0.4152772E+01,  0.4137291E+01,  0.4123055E+01,  0.4109951E+01,  0.4097876E+01,  0.4086738E+01,  0.4076452E+01,  0.4066946E+01,  0.4058149E+01,  0.4050000E+01,
  0.4200000E+04,  0.6000000E+03,         1,         7,         1,  0.4447992E+01,  0.4408491E+01,  0.4372066E+01,  0.4338546E+01,  0.4307749E+01,  0.4279482E+01,  0.4253552E+01,  0.4229774E+01,  0.4207970E+01,  0.4187971E+01,  0.4169620E+01,  0.4152772E+01,  0.4137291E+01,  0.4123055E+01,  0.4109951E+01,  0.4097876E+01,  0.4086738E+01,  0.4076452E+01,  0.4066946E+01,  0.4058149E+01,  0.4050000E+01,
  0.4800000E+04,  0.6000000E+03,         1,         8,         1,  0.4447992E+01,  0.4408491E+01,  0.4372066E+01,  0.4338546E+01,  0.4307749E+01,  0.4279482E+01,  0.4253552E+01,  0.4229774E+01,  0.4207970E+01,  0.4187971E+01,  0.4169620E+01,  0.4152772E+01,  0.4137291E+01,  0.4123055E+01,  0.4109951E+01,  0.4097876E+01,  0.4086738E+01,  0.4076452E+01,  0.4066946E+01,  0.4058149E+01,  0.4050000E+01,
  0.5400000E+04,  0.6000000E+03,         1,         9,         1,  0.4447992E+01,  0.4408491E+01,  0.4372066E+01,  0.4338546E+01,  0.4307749E+01,  0.4279482E+01,  0.4253552E+01,  0.4229774E+01,  0.4207970E+01,  0.4187971E+01,  0.4169620E+01,  0.4152772E+01,  0.4137291E+01,  0.4123055E+01,  0.4109951E+01,  0.4097876E+01,  0.4086738E+01,  0.4076452E+01,  0.4066946E+01,  0.4058149E+01,  0.4050000E+01,
  0.6000000E+04,  0.6000000E+03,         1,        10,         1,  0.4447992E+01,  0.4408491E+01,  0.4372066E+01,  0.4338546E+01,  0.4307749E+01,  0.4279482E+01,  0.4253552E+01,  0.4229774E+01,  0.4207970E+01,  0.4187971E+01,  0.4169620E+01,  0.4152772E+01,  0.4137291E+01,  0.4123055E+01,  0.4109951E+01,  0.4097876E+01,  0.4086738E+01,  0.4076452E+01,  0.4066946E+01,  0.4058149E+01,  0.4050000E+01,
  0.6600000E+04,  0.6000000E+03,         1,        11,         1,  0.4447992E+01,  0.4408491E+01,  0.4372066E+01,  0.4338546E+01,  0.4307749E+01,  0.4279482E+01,  0.4253552E+01,  0.4229774E+01,  0.4207970E+01,  0.4187971E+01,  0.4169620E+01,  0.4152772E+01,  0.4137291E+01,  0.4123055E+01,  0.4109951E+01,  0.4097876E+01,  0.4086738E+01,  0.4076452E+01,  0.4066946E+01,  0.4058149E+01,  0.4050000E+01,
  0.7200000E+04,  0.6000000E+03,         1,        12,         1,  0.4447992E+01,  0.4408491E+01,  0.4372066E+01,  0.4338546E+01,  0.4307749E+01,  0.4279482E+01,  0.4253552E+01,  0.4229774E+01,  0.4207970E+01,  0.4187971E+01,  0.4169620E+01,  0.4152772E+01,  0.4137291E+01,  0.4123055E+01,  0.4109951E+01,  0.4097876E+01,  0.4086738E+01,  0.4076452E+01,  0.4066946E+01,  0.4058149E+01,  0.4050000E+01,
  0.7800000E+04,  0.6000000E+03,         1,        13,         1,  0.4447992E+01,  0.4408491E+01,  0.4372066E+01,  0.4338546E+01,  0.4307749E+01,  0.4279482E+01,  0.4253552E+01,  0.4229774E+01,  0.4207970E+01,  0.4187971E+01,  0.4169620E+01,  0.4152772E+01,  0.4137291E+01,  0.4123055E+01,  0.4109951E+01,  0.4097876E+01,  0.4086738E+01,  0.4076452E+01,  0.4066946E+01,  0.4058149E+01,  0.4050000E+01,
  0.8400000E+04,  0.6000000E+03,         1,        14,         1,  0.4447992E+01,  0.4408491E+01,  0.4372066E+01,  0.4338546E+01,  0.4307749E+01,  0.4279482E+01,  0.4253552E+01,  0.4229774E+01,  0.4207970E+01,  0.4187971E+01,  0.4169620E+01,  0.4152772E+01,  0.4137291E+01,  0.4123055E+01,  0.4109951E+01,  0.4097876E+01,  0.4086737E+01,  0.4076452E+01,  0.4066946E+01,  0.4058149E+01,  0.4050000E+01,
  0.9000000E+04,  0.6000000E+03,         1,        15,         1,  0.4447992E+01,  0.4408491E+01,  0.4372066E+01,  0.4338546E+01,  0.4307749E+01,  0.4279482E+01,  0.4253552E+01,  0.4229774E+01,  0.4207970E+01,  0.4187971E+01,  0.4169620E+01,  0.4152772E+01,  0.4137291E+01,  0.4123055E+01,  0.4109951E+01,  0.4097876E+01,  0.4086738E+01,  0.4076452E+01,  0.4066946E+01,  0.4058149E+01,  0.4050000E+01,
  0.9600000E+04,  0.6000000E+03,         1,        16,         1,  0.4447992E+01,  0.4408491E+01,  0.4372066E+01,  0.4338546E+01,  0.4307749E+01,  0.4279482E+01,  0.4253552E+01,  0.4229774E+01,  0.4207970E+01,  0.4187971E+01,  0.4169620E+01,  0.4152772E+01,  0.4137291E+01,  0.4123055E+01,  0.4109951E+01,  0.4097876E+01,  0.4086738E+01,  0.4076452E+01,  0.4066946E+01,  0.4058149E+01,  0.4050000E+01,
  0.1020000E+05,  0.6000000E+03,         1,        17,         1,  0.4447992E+01,  0.4408491E+01,  0.4372066E+01,  0.4338546E+01,  0.4307749E+01,  0.4279482E+01,  0.4253552E+01,  0.4229774E+01,  0.4207970E+01,  0.4187971E+01,  0.4169620E+01,  0.4152772E+01,  0.4137291E+01,  0.4123055E+01,  0.4109951E+01,  0.4097876E+01,  0.4086738E+01,  0.4076452E+01,  0.4066946E+01,  0.4058149E+01,  0.4050000E+01,
  0.1080000E+05,  0.6000000E+03,         1,        18,         1,  0.4447992E+01,  0.4408491E+01,  0.4372066E+01,  0.4338546E+01,  0.4307749E+01,  0.4279482E+01,  0.4253552E+01,  0.4229774E+01,  0.4207970E+01,  0.4187971E+01,  0.4169620E+01,  0.4152772E+01,  0.4137291E+01,  0.4123055E+01,  0.4109951E+01,  0.4097876E+01,  0.4086738E+01,  0.4076452E+01,  0.4066946E+01,  0.4058149E+01,  0.4050000E+01,
  0.1140000E+05,  0.6000000E+03,         1,        19,         1,  0.4447992E+01,  0.4408491E+01,  0.4372066E+01,  0.4338546E+01,  0.4307749E+01,  0.4279482E+01,  0.4253552E+01,  0.4229774E+01,  0.4207970E+01,  0.4187971E+01,  0.4169620E+01,  0.4152772E+01,  0.4137291E+01,  0.4123055E+01,  0.4109951E+01,  0.4097876E+01,  0.4086738E+01,  0.4076452E+01,  0.4066946E+01,  0.4058149E+01,  0.4050000E+01,
