TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,RCHGRP    ,REACHC    ,CONNREACH ,QLATFLOW       ,VLATFLOW        
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,         1,         1,         2, -0.1999999E+02, -0.7343537E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,         2,         2,         1,  0.1999999E+02,  0.7343537E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,         2,         2,         3, -0.2000001E+02, -0.7141450E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,         3,         3,         2,  0.2000001E+02,  0.7141450E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,         3,         3,         4, -0.2000002E+02, -0.6939758E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,         4,         4,         3,  0.2000002E+02,  0.6939758E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,         4,         4,         5, -0.2000003E+02, -0.6739651E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,         5,         5,         4,  0.2000003E+02,  0.6739651E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,         5,         5,         6, -0.2000004E+02, -0.6542647E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,         6,         6,         5,  0.2000004E+02,  0.6542647E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,         6,         6,         7, -0.2000004E+02, -0.6349629E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,         7,         7,         6,  0.2000004E+02,  0.6349629E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,         7,         7,         8, -0.2000005E+02, -0.6161243E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,         8,         8,         7,  0.2000005E+02,  0.6161243E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,         8,         8,         9, -0.2000005E+02, -0.5977986E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,         9,         9,         8,  0.2000005E+02,  0.5977986E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,         9,         9,        10, -0.2000005E+02, -0.5800221E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,        10,        10,         9,  0.2000005E+02,  0.5800221E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,        10,        10,        11, -0.2000004E+02, -0.5628192E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,        11,        11,        10,  0.2000004E+02,  0.5628192E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,        11,        11,        12, -0.2000004E+02, -0.5462043E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,        12,        12,        11,  0.2000004E+02,  0.5462043E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,        12,        12,        13, -0.2000004E+02, -0.5301834E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,        13,        13,        12,  0.2000004E+02,  0.5301834E+00
  0.6000000E+03,  0.6000000E+03,         1,         1,         1,        13,        13,        14, -0.2000004E+02, -0.5147553E+00
